region	tags	indicator	Обучение за счет бюджетных ассигнований федерального бюджета, бюджета субъекта Российской Федерации, местного бюджета / Подано заявлений / 3	Обучение за счет бюджетных ассигнований федерального бюджета, бюджета субъекта Российской Федерации, местного бюджета / Принято / 4	Обучение по договорам об оказании платных образовательных услуг / Подано заявлений / 5	Обучение по договорам об оказании платных образовательных услуг / Принято / 6
Липецкая область	Государственные, Муниципальные; заочная	высшего профессионального, подтвержденного присвоением квалификации «дипломированный специалист» / 08	0.0	0.0	14.0	11.0
Липецкая область	Государственные, Муниципальные; заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 03	60.0	9.0	451.0	267.0
Липецкая область	Государственные, Муниципальные; заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 05	0.0	0.0	5.0	5.0
Липецкая область	Государственные, Муниципальные; заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 07	0.0	0.0	1.0	1.0
Липецкая область	Государственные, Муниципальные; заочная	магистра / 06	0.0	0.0	8.0	7.0
Липецкая область	Государственные, Муниципальные; заочная	специалиста (кроме стр. 08) / 04	0.0	0.0	58.0	43.0
Липецкая область	Государственные, Муниципальные; очная	Всего (сумма строк 02, 04, 06, 08) / 01	1126.0	487.0	348.0	131.0
Липецкая область	Государственные, Муниципальные; очная	Из строки 01: выпускники подготовительных курсов при данной организации / 09	0.0	0.0	6.0	6.0
Липецкая область	Государственные, Муниципальные; очная	в том числе поступали на базе образования:  высшего, подтвержденного дипломом: бакалавра / 02	1109.0	479.0	344.0	128.0
Липецкая область	Государственные, Муниципальные; очная	высшего профессионального, подтвержденного присвоением квалификации «дипломированный специалист» / 08	17.0	8.0	1.0	1.0
Липецкая область	Государственные, Муниципальные; очная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 03	927.0	409.0	306.0	119.0
Липецкая область	Государственные, Муниципальные; очная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 05	0.0	0.0	0.0	0.0
Липецкая область	Государственные, Муниципальные; очная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 07	0.0	0.0	2.0	2.0
Липецкая область	Государственные, Муниципальные; очная	магистра / 06	0.0	0.0	3.0	2.0
Липецкая область	Государственные, Муниципальные; очная	специалиста (кроме стр. 08) / 04	0.0	0.0	0.0	0.0
Липецкая область	Государственные, Муниципальные; очно-заочная	Всего (сумма строк 02, 04, 06, 08) / 01	250.0	110.0	212.0	103.0
Липецкая область	Государственные, Муниципальные; очно-заочная	Из строки 01: выпускники подготовительных курсов при данной организации / 09	0.0	0.0	0.0	0.0
Липецкая область	Государственные, Муниципальные; очно-заочная	в том числе поступали на базе образования:  высшего, подтвержденного дипломом: бакалавра / 02	239.0	109.0	203.0	99.0
Липецкая область	Государственные, Муниципальные; очно-заочная	высшего профессионального, подтвержденного присвоением квалификации «дипломированный специалист» / 08	11.0	1.0	5.0	3.0
Липецкая область	Государственные, Муниципальные; очно-заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 03	166.0	67.0	115.0	58.0
Липецкая область	Государственные, Муниципальные; очно-заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 05	0.0	0.0	0.0	0.0
Липецкая область	Государственные, Муниципальные; очно-заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 07	0.0	0.0	1.0	0.0
Липецкая область	Государственные, Муниципальные; очно-заочная	магистра / 06	0.0	0.0	1.0	0.0
Липецкая область	Государственные, Муниципальные; очно-заочная	специалиста (кроме стр. 08) / 04	0.0	0.0	3.0	1.0
Магаданская область	Государственные, Муниципальные; заочная	Всего (сумма строк 02, 04, 06, 08) / 01	34.0	15.0	42.0	19.0
Магаданская область	Государственные, Муниципальные; заочная	Из строки 01: выпускники подготовительных курсов при данной организации / 09	0.0	0.0	0.0	0.0
Магаданская область	Государственные, Муниципальные; заочная	в том числе поступали на базе образования:  высшего, подтвержденного дипломом: бакалавра / 02	29.0	12.0	32.0	16.0
Магаданская область	Государственные, Муниципальные; заочная	высшего профессионального, подтвержденного присвоением квалификации «дипломированный специалист» / 08	5.0	3.0	6.0	0.0
Магаданская область	Государственные, Муниципальные; заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 03	7.0	3.0	11.0	5.0
Магаданская область	Государственные, Муниципальные; заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 05	0.0	0.0	0.0	0.0
Магаданская область	Государственные, Муниципальные; заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 07	0.0	0.0	0.0	0.0
Магаданская область	Государственные, Муниципальные; заочная	магистра / 06	0.0	0.0	0.0	0.0
Магаданская область	Государственные, Муниципальные; заочная	специалиста (кроме стр. 08) / 04	0.0	0.0	4.0	3.0
Магаданская область	Государственные, Муниципальные; очная	Всего (сумма строк 02, 04, 06, 08) / 01	41.0	26.0	4.0	0.0
Магаданская область	Государственные, Муниципальные; очная	Из строки 01: выпускники подготовительных курсов при данной организации / 09	0.0	0.0	0.0	0.0
Магаданская область	Государственные, Муниципальные; очная	в том числе поступали на базе образования:  высшего, подтвержденного дипломом: бакалавра / 02	40.0	26.0	3.0	0.0
Магаданская область	Государственные, Муниципальные; очная	высшего профессионального, подтвержденного присвоением квалификации «дипломированный специалист» / 08	1.0	0.0	1.0	0.0
Магаданская область	Государственные, Муниципальные; очная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 03	35.0	24.0	3.0	0.0
Магаданская область	Государственные, Муниципальные; очная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 05	0.0	0.0	0.0	0.0
Магаданская область	Государственные, Муниципальные; очная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 07	0.0	0.0	0.0	0.0
Магаданская область	Государственные, Муниципальные; очная	магистра / 06	0.0	0.0	0.0	0.0
Магаданская область	Государственные, Муниципальные; очная	специалиста (кроме стр. 08) / 04	0.0	0.0	0.0	0.0
Московская область	Государственные, Муниципальные; заочная	Всего (сумма строк 02, 04, 06, 08) / 01	2097.0	630.0	1600.0	752.0
Московская область	Государственные, Муниципальные; заочная	Из строки 01: выпускники подготовительных курсов при данной организации / 09	0.0	0.0	0.0	0.0
Московская область	Государственные, Муниципальные; заочная	в том числе поступали на базе образования:  высшего, подтвержденного дипломом: бакалавра / 02	1487.0	405.0	1318.0	559.0
Московская область	Государственные, Муниципальные; заочная	высшего профессионального, подтвержденного присвоением квалификации «дипломированный специалист» / 08	610.0	225.0	156.0	99.0
Московская область	Государственные, Муниципальные; заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 03	993.0	257.0	842.0	274.0
Московская область	Государственные, Муниципальные; заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 05	0.0	0.0	12.0	4.0
Московская область	Государственные, Муниципальные; заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 07	0.0	0.0	8.0	2.0
Московская область	Государственные, Муниципальные; заочная	магистра / 06	0.0	0.0	19.0	13.0
Московская область	Государственные, Муниципальные; заочная	специалиста (кроме стр. 08) / 04	0.0	0.0	107.0	81.0
Московская область	Государственные, Муниципальные; очная	Всего (сумма строк 02, 04, 06, 08) / 01	5600.0	1720.0	3034.0	1039.0
Московская область	Государственные, Муниципальные; очная	Из строки 01: выпускники подготовительных курсов при данной организации / 09	0.0	0.0	0.0	0.0
Московская область	Государственные, Муниципальные; очная	в том числе поступали на базе образования:  высшего, подтвержденного дипломом: бакалавра / 02	5181.0	1523.0	2681.0	860.0
Московская область	Государственные, Муниципальные; очная	высшего профессионального, подтвержденного присвоением квалификации «дипломированный специалист» / 08	419.0	197.0	130.0	87.0
Московская область	Государственные, Муниципальные; очная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 03	4502.0	1304.0	2146.0	619.0
Московская область	Государственные, Муниципальные; очная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 05	0.0	0.0	3.0	1.0
Московская область	Государственные, Муниципальные; очная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 07	0.0	0.0	6.0	0.0
Московская область	Государственные, Муниципальные; очная	магистра / 06	0.0	0.0	33.0	15.0
Московская область	Государственные, Муниципальные; очная	специалиста (кроме стр. 08) / 04	0.0	0.0	190.0	77.0
Московская область	Государственные, Муниципальные; очно-заочная	Всего (сумма строк 02, 04, 06, 08) / 01	135.0	76.0	163.0	103.0
Московская область	Государственные, Муниципальные; очно-заочная	Из строки 01: выпускники подготовительных курсов при данной организации / 09	0.0	0.0	0.0	0.0
Московская область	Государственные, Муниципальные; очно-заочная	в том числе поступали на базе образования:  высшего, подтвержденного дипломом: бакалавра / 02	103.0	51.0	108.0	63.0
Московская область	Государственные, Муниципальные; очно-заочная	высшего профессионального, подтвержденного присвоением квалификации «дипломированный специалист» / 08	32.0	25.0	20.0	18.0
Московская область	Государственные, Муниципальные; очно-заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 03	55.0	33.0	44.0	23.0
Московская область	Государственные, Муниципальные; очно-заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 05	0.0	0.0	0.0	0.0
Московская область	Государственные, Муниципальные; очно-заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 07	0.0	0.0	0.0	0.0
Московская область	Государственные, Муниципальные; очно-заочная	магистра / 06	0.0	0.0	2.0	0.0
Московская область	Государственные, Муниципальные; очно-заочная	специалиста (кроме стр. 08) / 04	0.0	0.0	33.0	22.0
Московская область	заочная; Частные	Всего (сумма строк 02, 04, 06, 08) / 01	0.0	0.0	64.0	45.0
Московская область	заочная; Частные	Из строки 01: выпускники подготовительных курсов при данной организации / 09	0.0	0.0	0.0	0.0
Московская область	заочная; Частные	в том числе поступали на базе образования:  высшего, подтвержденного дипломом: бакалавра / 02	0.0	0.0	47.0	35.0
Московская область	заочная; Частные	высшего профессионального, подтвержденного присвоением квалификации «дипломированный специалист» / 08	0.0	0.0	4.0	3.0
Московская область	заочная; Частные	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 03	0.0	0.0	17.0	9.0
Московская область	заочная; Частные	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 05	0.0	0.0	0.0	0.0
Московская область	заочная; Частные	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 07	0.0	0.0	0.0	0.0
Московская область	заочная; Частные	магистра / 06	0.0	0.0	2.0	1.0
Московская область	заочная; Частные	специалиста (кроме стр. 08) / 04	0.0	0.0	11.0	6.0
Московская область	очная; Частные	Всего (сумма строк 02, 04, 06, 08) / 01	46.0	25.0	138.0	113.0
Московская область	очная; Частные	Из строки 01: выпускники подготовительных курсов при данной организации / 09	0.0	0.0	0.0	0.0
Московская область	очная; Частные	в том числе поступали на базе образования:  высшего, подтвержденного дипломом: бакалавра / 02	46.0	25.0	121.0	97.0
Московская область	очная; Частные	высшего профессионального, подтвержденного присвоением квалификации «дипломированный специалист» / 08	0.0	0.0	8.0	8.0
Московская область	очная; Частные	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 03	20.0	17.0	95.0	74.0
Московская область	очная; Частные	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 05	0.0	0.0	1.0	1.0
Московская область	очная; Частные	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 07	0.0	0.0	0.0	0.0
Московская область	очная; Частные	магистра / 06	0.0	0.0	0.0	0.0
Московская область	очная; Частные	специалиста (кроме стр. 08) / 04	0.0	0.0	9.0	8.0
Московская область	очно-заочная; Частные	Всего (сумма строк 02, 04, 06, 08) / 01	0.0	0.0	38.0	37.0
Московская область	очно-заочная; Частные	Из строки 01: выпускники подготовительных курсов при данной организации / 09	0.0	0.0	0.0	0.0
Московская область	очно-заочная; Частные	в том числе поступали на базе образования:  высшего, подтвержденного дипломом: бакалавра / 02	0.0	0.0	14.0	13.0
Московская область	очно-заочная; Частные	высшего профессионального, подтвержденного присвоением квалификации «дипломированный специалист» / 08	0.0	0.0	23.0	23.0
Московская область	очно-заочная; Частные	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 03	0.0	0.0	4.0	4.0
Московская область	очно-заочная; Частные	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 05	0.0	0.0	0.0	0.0
Московская область	очно-заочная; Частные	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 07	0.0	0.0	0.0	0.0
Московская область	очно-заочная; Частные	магистра / 06	0.0	0.0	0.0	0.0
Московская область	очно-заочная; Частные	специалиста (кроме стр. 08) / 04	0.0	0.0	1.0	1.0
Мурманская область	Государственные, Муниципальные; заочная	Всего (сумма строк 02, 04, 06, 08) / 01	102.0	50.0	84.0	63.0
Мурманская область	Государственные, Муниципальные; заочная	Из строки 01: выпускники подготовительных курсов при данной организации / 09	0.0	0.0	0.0	0.0
Мурманская область	Государственные, Муниципальные; заочная	в том числе поступали на базе образования:  высшего, подтвержденного дипломом: бакалавра / 02	77.0	36.0	42.0	31.0
Мурманская область	Государственные, Муниципальные; заочная	высшего профессионального, подтвержденного присвоением квалификации «дипломированный специалист» / 08	25.0	14.0	8.0	0.0
Мурманская область	Государственные, Муниципальные; заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 03	39.0	10.0	14.0	1.0
Мурманская область	Государственные, Муниципальные; заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 05	0.0	0.0	0.0	0.0
Мурманская область	Государственные, Муниципальные; заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 07	0.0	0.0	0.0	0.0
Мурманская область	Государственные, Муниципальные; заочная	магистра / 06	0.0	0.0	0.0	0.0
Мурманская область	Государственные, Муниципальные; заочная	специалиста (кроме стр. 08) / 04	0.0	0.0	34.0	32.0
Мурманская область	Государственные, Муниципальные; очная	Всего (сумма строк 02, 04, 06, 08) / 01	279.0	196.0	21.0	5.0
Мурманская область	Государственные, Муниципальные; очная	Из строки 01: выпускники подготовительных курсов при данной организации / 09	0.0	0.0	0.0	0.0
Мурманская область	Государственные, Муниципальные; очная	в том числе поступали на базе образования:  высшего, подтвержденного дипломом: бакалавра / 02	225.0	154.0	19.0	4.0
Мурманская область	Государственные, Муниципальные; очная	высшего профессионального, подтвержденного присвоением квалификации «дипломированный специалист» / 08	54.0	42.0	0.0	0.0
Мурманская область	Государственные, Муниципальные; очная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 03	152.0	103.0	17.0	4.0
Мурманская область	Государственные, Муниципальные; очная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 05	0.0	0.0	0.0	0.0
Мурманская область	Государственные, Муниципальные; очная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 07	0.0	0.0	0.0	0.0
Мурманская область	Государственные, Муниципальные; очная	магистра / 06	0.0	0.0	0.0	0.0
Мурманская область	Государственные, Муниципальные; очная	специалиста (кроме стр. 08) / 04	0.0	0.0	2.0	1.0
Мурманская область	Государственные, Муниципальные; очно-заочная	Всего (сумма строк 02, 04, 06, 08) / 01	0.0	0.0	13.0	10.0
Мурманская область	Государственные, Муниципальные; очно-заочная	Из строки 01: выпускники подготовительных курсов при данной организации / 09	0.0	0.0	0.0	0.0
Мурманская область	Государственные, Муниципальные; очно-заочная	в том числе поступали на базе образования:  высшего, подтвержденного дипломом: бакалавра / 02	0.0	0.0	2.0	2.0
Мурманская область	Государственные, Муниципальные; очно-заочная	высшего профессионального, подтвержденного присвоением квалификации «дипломированный специалист» / 08	0.0	0.0	11.0	8.0
Мурманская область	Государственные, Муниципальные; очно-заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 03	0.0	0.0	0.0	0.0
Мурманская область	Государственные, Муниципальные; очно-заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 05	0.0	0.0	0.0	0.0
Мурманская область	Государственные, Муниципальные; очно-заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 07	0.0	0.0	0.0	0.0
Мурманская область	Государственные, Муниципальные; очно-заочная	магистра / 06	0.0	0.0	0.0	0.0
Мурманская область	Государственные, Муниципальные; очно-заочная	специалиста (кроме стр. 08) / 04	0.0	0.0	0.0	0.0
Нижегородская область	Государственные, Муниципальные; заочная	Всего (сумма строк 02, 04, 06, 08) / 01	1729.0	366.0	2171.0	948.0
Нижегородская область	Государственные, Муниципальные; заочная	Из строки 01: выпускники подготовительных курсов при данной организации / 09	48.0	4.0	46.0	2.0
Нижегородская область	Государственные, Муниципальные; заочная	в том числе поступали на базе образования:  высшего, подтвержденного дипломом: бакалавра / 02	1589.0	325.0	1843.0	730.0
Нижегородская область	Государственные, Муниципальные; заочная	высшего профессионального, подтвержденного присвоением квалификации «дипломированный специалист» / 08	140.0	41.0	196.0	132.0
Нижегородская область	Государственные, Муниципальные; заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 03	1183.0	253.0	1309.0	378.0
Нижегородская область	Государственные, Муниципальные; заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 05	0.0	0.0	17.0	5.0
Нижегородская область	Государственные, Муниципальные; заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 07	0.0	0.0	6.0	4.0
Нижегородская область	Государственные, Муниципальные; заочная	магистра / 06	0.0	0.0	26.0	17.0
Нижегородская область	Государственные, Муниципальные; заочная	специалиста (кроме стр. 08) / 04	0.0	0.0	106.0	69.0
Нижегородская область	Государственные, Муниципальные; очная	Всего (сумма строк 02, 04, 06, 08) / 01	9959.0	2819.0	2233.0	404.0
Нижегородская область	Государственные, Муниципальные; очная	Из строки 01: выпускники подготовительных курсов при данной организации / 09	67.0	20.0	63.0	12.0
Нижегородская область	Государственные, Муниципальные; очная	в том числе поступали на базе образования:  высшего, подтвержденного дипломом: бакалавра / 02	8830.0	2595.0	2032.0	359.0
Нижегородская область	Государственные, Муниципальные; очная	высшего профессионального, подтвержденного присвоением квалификации «дипломированный специалист» / 08	1129.0	224.0	90.0	14.0
Нижегородская область	Государственные, Муниципальные; очная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 03	7248.0	2206.0	1684.0	252.0
Нижегородская область	Государственные, Муниципальные; очная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 05	0.0	0.0	8.0	2.0
Нижегородская область	Государственные, Муниципальные; очная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 07	0.0	0.0	20.0	14.0
Нижегородская область	Государственные, Муниципальные; очная	магистра / 06	0.0	0.0	39.0	20.0
Нижегородская область	Государственные, Муниципальные; очная	специалиста (кроме стр. 08) / 04	0.0	0.0	72.0	11.0
Нижегородская область	Государственные, Муниципальные; очно-заочная	Всего (сумма строк 02, 04, 06, 08) / 01	476.0	141.0	733.0	340.0
Нижегородская область	Государственные, Муниципальные; очно-заочная	Из строки 01: выпускники подготовительных курсов при данной организации / 09	3.0	2.0	27.0	1.0
Нижегородская область	Государственные, Муниципальные; очно-заочная	в том числе поступали на базе образования:  высшего, подтвержденного дипломом: бакалавра / 02	373.0	94.0	568.0	240.0
Нижегородская область	Государственные, Муниципальные; очно-заочная	высшего профессионального, подтвержденного присвоением квалификации «дипломированный специалист» / 08	103.0	47.0	73.0	41.0
Нижегородская область	Государственные, Муниципальные; очно-заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 03	300.0	68.0	383.0	131.0
Нижегородская область	Государственные, Муниципальные; очно-заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 05	0.0	0.0	21.0	13.0
Нижегородская область	Государственные, Муниципальные; очно-заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 07	0.0	0.0	5.0	3.0
Нижегородская область	Государственные, Муниципальные; очно-заочная	магистра / 06	0.0	0.0	19.0	11.0
Нижегородская область	Государственные, Муниципальные; очно-заочная	специалиста (кроме стр. 08) / 04	0.0	0.0	73.0	48.0
Новгородская область	Государственные, Муниципальные; заочная	Всего (сумма строк 02, 04, 06, 08) / 01	172.0	67.0	222.0	101.0
Новгородская область	Государственные, Муниципальные; заочная	Из строки 01: выпускники подготовительных курсов при данной организации / 09	0.0	0.0	0.0	0.0
Новгородская область	Государственные, Муниципальные; заочная	в том числе поступали на базе образования:  высшего, подтвержденного дипломом: бакалавра / 02	147.0	59.0	172.0	78.0
Новгородская область	Государственные, Муниципальные; заочная	высшего профессионального, подтвержденного присвоением квалификации «дипломированный специалист» / 08	25.0	8.0	40.0	18.0
Новгородская область	Государственные, Муниципальные; заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 03	103.0	41.0	99.0	39.0
Новгородская область	Государственные, Муниципальные; заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 05	0.0	0.0	1.0	1.0
Новгородская область	Государственные, Муниципальные; заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 07	0.0	0.0	0.0	0.0
Новгородская область	Государственные, Муниципальные; заочная	магистра / 06	0.0	0.0	2.0	1.0
Новгородская область	Государственные, Муниципальные; заочная	специалиста (кроме стр. 08) / 04	0.0	0.0	8.0	4.0
Новгородская область	Государственные, Муниципальные; очная	Всего (сумма строк 02, 04, 06, 08) / 01	318.0	157.0	125.0	29.0
Новгородская область	Государственные, Муниципальные; очная	Из строки 01: выпускники подготовительных курсов при данной организации / 09	0.0	0.0	0.0	0.0
Новгородская область	Государственные, Муниципальные; очная	в том числе поступали на базе образования:  высшего, подтвержденного дипломом: бакалавра / 02	284.0	144.0	109.0	22.0
Новгородская область	Государственные, Муниципальные; очная	высшего профессионального, подтвержденного присвоением квалификации «дипломированный специалист» / 08	34.0	13.0	13.0	7.0
Новгородская область	Государственные, Муниципальные; очная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 03	223.0	112.0	90.0	16.0
Новгородская область	Государственные, Муниципальные; очная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 05	0.0	0.0	0.0	0.0
Новгородская область	Государственные, Муниципальные; очная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 07	0.0	0.0	0.0	0.0
Новгородская область	Государственные, Муниципальные; очная	магистра / 06	0.0	0.0	1.0	0.0
Новгородская область	Государственные, Муниципальные; очная	специалиста (кроме стр. 08) / 04	0.0	0.0	2.0	0.0
Новгородская область	Государственные, Муниципальные; очно-заочная	Всего (сумма строк 02, 04, 06, 08) / 01	23.0	15.0	12.0	8.0
Новгородская область	Государственные, Муниципальные; очно-заочная	Из строки 01: выпускники подготовительных курсов при данной организации / 09	0.0	0.0	0.0	0.0
Новгородская область	Государственные, Муниципальные; очно-заочная	в том числе поступали на базе образования:  высшего, подтвержденного дипломом: бакалавра / 02	11.0	8.0	12.0	8.0
Новгородская область	Государственные, Муниципальные; очно-заочная	высшего профессионального, подтвержденного присвоением квалификации «дипломированный специалист» / 08	12.0	7.0	0.0	0.0
Новгородская область	Государственные, Муниципальные; очно-заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 03	5.0	5.0	8.0	6.0
Новгородская область	Государственные, Муниципальные; очно-заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 05	0.0	0.0	0.0	0.0
