region	tags	indicator	Всего (сумма граф 4-9) > 3.0	Из гр. 3 имеют педагогический стаж работы, всего (сумма гр.11-16) > 10.0	Не имеют педагоги-ческого стажа работы > 17.0	из гр. 10 – имеют педагогический стаж работы, лет > 20 и более > 16.0	из гр. 10 – имеют педагогический стаж работы, лет > до 3 > 11.0	из гр. 10 – имеют педагогический стаж работы, лет > от 10 до 15 > 14.0	из гр. 10 – имеют педагогический стаж работы, лет > от 15 до 20 > 15.0	из гр. 10 – имеют педагогический стаж работы, лет > от 3 до 5 > 12.0	из гр. 10 – имеют педагогический стаж работы, лет > от 5 до 10 > 13.0	из гр. 3 – имеют общий стаж работы, лет > 20 и более > 9.0	из гр. 3 – имеют общий стаж работы, лет > до 3 > 4.0	из гр. 3 – имеют общий стаж работы, лет > от 10 до 15 > 7.0	из гр. 3 – имеют общий стаж работы, лет > от 15 до 20 > 8.0	из гр. 3 – имеют общий стаж работы, лет > от 3 до 5 > 5.0	из гр. 3 – имеют общий стаж работы, лет > от 5 до 10 > 6.0
Кировская область	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 12 мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 25.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Кировская область	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 12 мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 26.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Кировская область	Частные; Сведения об организации, реализуемых программах и персонале	Численность работников - всего (сумма строк 02, 06, 21, 22) / 1.0	161	104	57	48	22	9	12	7	6	96	12	14	20	9	10
Костромская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"          из них: 
          общеобразовательных дисциплин / 8.0"	196	183	13	98	19	18	16	17	15	115	15	14	18	14	20
Костромская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"          математического и общего естественнонаучного
          учебного цикла / 10.0"	49	49	0	19	6	5	7	3	9	24	3	7	7	1	7
Костромская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"          общего гуманитарного и социально-
          экономического учебного цикла / 9.0"	57	56	1	29	7	5	6	1	8	34	6	5	4	2	6
Костромская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	          профессионального учебного цикла / 11.0	334	326	8	157	39	45	25	27	33	209	14	42	33	8	28
Костромская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"       в том числе: 
       преподаватели - всего (сумма строк 8-11) / 7.0"	636	614	22	303	71	73	54	48	65	382	38	68	62	25	61
Костромская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       заместители директора (начальника) / 4.0	64	55	9	26	3	6	9	4	7	48	0	4	10	0	2
Костромская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"       из них: 
       директор (начальник) / 3.0"	26	24	2	15	2	0	4	0	3	20	0	2	2	0	2
Костромская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       мастера производственного обучения / 12.0	135	121	14	37	25	11	8	23	17	85	8	10	19	7	6
Костромская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       методисты / 18.0	19	19	0	6	2	2	2	4	3	13	0	1	1	1	3
Костромская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       педагоги-организаторы / 15.0	9	9	0	4	1	3	0	0	1	5	1	1	1	0	1
Костромская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       педагоги-психологи / 14.0	14	14	0	1	4	3	0	4	2	5	0	2	0	2	5
Костромская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"       преподаватели-организаторы (основ безопасности
       жизнедеятельности, допризывной подготовки) / 16.0"	12	12	0	2	2	2	1	2	3	10	0	1	1	0	0
Костромская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       прочие / 20.0	82	75	7	34	10	8	5	10	8	61	1	5	10	1	4
Костромская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       руководители физического воспитания / 17.0	10	10	0	6	1	2	0	0	1	6	1	2	1	0	0
Костромская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       руководитель филиала / 5.0	5	5	0	4	0	1	0	0	0	5	0	0	0	0	0
Костромская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       социальные педагоги / 13.0	12	11	1	4	2	1	1	1	2	6	1	1	3	1	0
Костромская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       тьюторы / 19.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Костромская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    в том числе: 
    педагогические работники - всего 
    (сумма строк 07,12-20) / 6.0"	929	885	44	397	118	105	71	92	102	573	50	91	98	37	80
Костромская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    в том числе: 
    руководящие работники - всего / 2.0"	193	137	56	72	9	12	20	7	17	150	1	13	23	0	6
Костромская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	    обслуживающий персонал / 22.0	546	26	520	6	8	6	3	2	1	392	14	47	49	11	33
Костромская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	    учебно-вспомогательный персонал / 21.0	116	20	96	9	5	1	3	1	1	61	10	11	16	2	16
Костромская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 07 преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 23.0	115	112	3	45	15	11	13	9	19	63	8	11	11	4	18
Костромская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 07 преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 24.0	478	459	19	240	50	56	36	36	41	293	29	53	48	17	38
Костромская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 12 мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 25.0	84	70	14	20	15	5	6	13	11	47	6	6	14	6	5
Костромская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 12 мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 26.0	44	44	0	15	9	6	2	7	5	33	1	4	5	0	1
Костромская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников - всего (сумма строк 02, 06, 21, 22) / 1.0	1784	1068	716	484	140	124	97	102	121	1176	75	162	186	50	135
Костромская область	Частные; Сведения об организации, реализуемых программах и персонале	"          из них: 
          общеобразовательных дисциплин / 8.0"	4	3	1	2	0	0	0	1	0	2	1	0	0	1	0
Костромская область	Частные; Сведения об организации, реализуемых программах и персонале	"          математического и общего естественнонаучного
          учебного цикла / 10.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Костромская область	Частные; Сведения об организации, реализуемых программах и персонале	"          общего гуманитарного и социально-
          экономического учебного цикла / 9.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Костромская область	Частные; Сведения об организации, реализуемых программах и персонале	          профессионального учебного цикла / 11.0	5	5	0	4	1	0	0	0	0	4	0	0	0	0	1
Костромская область	Частные; Сведения об организации, реализуемых программах и персонале	"       в том числе: 
       преподаватели - всего (сумма строк 8-11) / 7.0"	9	8	1	6	1	0	0	1	0	6	1	0	0	1	1
Костромская область	Частные; Сведения об организации, реализуемых программах и персонале	       заместители директора (начальника) / 4.0	6	4	2	3	0	0	1	0	0	5	0	0	1	0	0
Костромская область	Частные; Сведения об организации, реализуемых программах и персонале	"       из них: 
       директор (начальник) / 3.0"	2	1	1	0	1	0	0	0	0	2	0	0	0	0	0
Костромская область	Частные; Сведения об организации, реализуемых программах и персонале	       мастера производственного обучения / 12.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Костромская область	Частные; Сведения об организации, реализуемых программах и персонале	       методисты / 18.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Костромская область	Частные; Сведения об организации, реализуемых программах и персонале	       педагоги-организаторы / 15.0	3	3	0	3	0	0	0	0	0	3	0	0	0	0	0
Костромская область	Частные; Сведения об организации, реализуемых программах и персонале	       педагоги-психологи / 14.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Костромская область	Частные; Сведения об организации, реализуемых программах и персонале	"       преподаватели-организаторы (основ безопасности
       жизнедеятельности, допризывной подготовки) / 16.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Костромская область	Частные; Сведения об организации, реализуемых программах и персонале	       прочие / 20.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Костромская область	Частные; Сведения об организации, реализуемых программах и персонале	       руководители физического воспитания / 17.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Костромская область	Частные; Сведения об организации, реализуемых программах и персонале	       руководитель филиала / 5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Костромская область	Частные; Сведения об организации, реализуемых программах и персонале	       социальные педагоги / 13.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Костромская область	Частные; Сведения об организации, реализуемых программах и персонале	       тьюторы / 19.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Костромская область	Частные; Сведения об организации, реализуемых программах и персонале	"    в том числе: 
    педагогические работники - всего 
    (сумма строк 07,12-20) / 6.0"	12	11	1	9	1	0	0	1	0	9	1	0	0	1	1
Костромская область	Частные; Сведения об организации, реализуемых программах и персонале	"    в том числе: 
    руководящие работники - всего / 2.0"	14	9	5	6	1	0	1	1	0	12	0	1	1	0	0
Костромская область	Частные; Сведения об организации, реализуемых программах и персонале	    обслуживающий персонал / 22.0	12	2	10	2	0	0	0	0	0	10	0	0	2	0	0
Костромская область	Частные; Сведения об организации, реализуемых программах и персонале	    учебно-вспомогательный персонал / 21.0	7	2	5	2	0	0	0	0	0	6	0	0	0	0	1
Костромская область	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 07 преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 23.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Костромская область	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 07 преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 24.0	9	8	1	6	1	0	0	1	0	6	1	0	0	1	1
Костромская область	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 12 мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 25.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Костромская область	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 12 мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 26.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Костромская область	Частные; Сведения об организации, реализуемых программах и персонале	Численность работников - всего (сумма строк 02, 06, 21, 22) / 1.0	45	24	21	19	2	0	1	2	0	37	1	1	3	1	2
Краснодарский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"          из них: 
          общеобразовательных дисциплин / 8.0"	1422	1402	20	526	166	195	191	115	209	684	113	195	193	82	155
Краснодарский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"          математического и общего естественнонаучного
          учебного цикла / 10.0"	394	388	6	150	39	55	52	28	64	186	32	56	49	22	49
Краснодарский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"          общего гуманитарного и социально-
          экономического учебного цикла / 9.0"	651	644	7	245	62	111	98	38	90	313	44	95	102	29	68
Краснодарский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	          профессионального учебного цикла / 11.0	2433	2368	65	802	323	344	281	236	382	1271	164	306	319	121	252
Краснодарский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"       в том числе: 
       преподаватели - всего (сумма строк 8-11) / 7.0"	4900	4802	98	1723	590	705	622	417	745	2454	353	652	663	254	524
Краснодарский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       заместители директора (начальника) / 4.0	358	273	85	156	4	37	43	8	25	249	2	34	59	2	12
Краснодарский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"       из них: 
       директор (начальник) / 3.0"	84	79	5	44	1	12	6	4	12	66	0	6	10	1	1
Краснодарский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       мастера производственного обучения / 12.0	562	555	7	170	96	69	48	57	115	284	74	63	53	24	64
Краснодарский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       методисты / 18.0	205	189	16	61	25	26	29	24	24	97	8	24	45	8	23
Краснодарский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       педагоги-организаторы / 15.0	51	48	3	7	19	5	3	7	7	15	10	9	4	7	6
Краснодарский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       педагоги-психологи / 14.0	122	118	4	21	23	15	23	11	25	37	15	18	29	2	21
Краснодарский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"       преподаватели-организаторы (основ безопасности
       жизнедеятельности, допризывной подготовки) / 16.0"	72	69	3	23	11	8	7	10	10	50	3	1	9	3	6
Краснодарский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       прочие / 20.0	272	251	21	81	51	31	22	23	43	128	28	38	33	18	27
Краснодарский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       руководители физического воспитания / 17.0	71	69	2	28	6	11	10	7	7	37	3	13	7	1	10
Краснодарский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       руководитель филиала / 5.0	16	15	1	6	3	6	0	0	0	13	0	2	1	0	0
Краснодарский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       социальные педагоги / 13.0	85	82	3	18	19	7	8	9	21	28	8	13	15	9	12
Краснодарский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       тьюторы / 19.0	6	3	3	1	0	1	0	0	1	1	2	2	0	0	1
Краснодарский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    в том числе: 
    педагогические работники - всего 
    (сумма строк 07,12-20) / 6.0"	6346	6186	160	2133	840	878	772	565	998	3131	504	833	858	326	694
Краснодарский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    в том числе: 
    руководящие работники - всего / 2.0"	634	481	153	267	15	70	63	17	49	449	7	59	96	3	20
Краснодарский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	    обслуживающий персонал / 22.0	2972	300	2672	82	52	36	32	33	65	1401	274	385	428	172	312
Краснодарский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	    учебно-вспомогательный персонал / 21.0	465	69	396	17	13	9	9	13	8	166	84	49	82	30	54
Краснодарский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 07 преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 23.0	778	769	9	267	88	126	98	64	126	372	51	117	109	41	88
Краснодарский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 07 преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 24.0	3609	3530	79	1245	455	509	448	306	567	1843	266	465	478	171	386
Краснодарский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 12 мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 25.0	419	414	5	134	68	52	39	43	78	220	59	40	41	18	41
Краснодарский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 12 мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 26.0	102	100	2	22	19	12	8	12	27	45	10	18	10	4	15
Краснодарский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников - всего (сумма строк 02, 06, 21, 22) / 1.0	10417	7036	3381	2499	920	993	876	628	1120	5147	869	1326	1464	531	1080
Краснодарский край	Частные; Сведения об организации, реализуемых программах и персонале	"          из них: 
          общеобразовательных дисциплин / 8.0"	245	241	4	71	43	29	34	29	35	93	24	33	33	23	39
Краснодарский край	Частные; Сведения об организации, реализуемых программах и персонале	"          математического и общего естественнонаучного
          учебного цикла / 10.0"	128	124	4	39	21	14	15	19	16	48	10	18	17	15	20
Краснодарский край	Частные; Сведения об организации, реализуемых программах и персонале	"          общего гуманитарного и социально-
          экономического учебного цикла / 9.0"	165	162	3	34	19	27	28	21	33	56	10	24	33	14	28
Краснодарский край	Частные; Сведения об организации, реализуемых программах и персонале	          профессионального учебного цикла / 11.0	396	364	32	75	92	50	47	47	53	180	24	59	65	20	48
Краснодарский край	Частные; Сведения об организации, реализуемых программах и персонале	"       в том числе: 
       преподаватели - всего (сумма строк 8-11) / 7.0"	934	891	43	219	175	120	124	116	137	377	68	134	148	72	135
Краснодарский край	Частные; Сведения об организации, реализуемых программах и персонале	       заместители директора (начальника) / 4.0	87	70	17	28	7	8	9	2	16	53	1	12	10	2	9
Краснодарский край	Частные; Сведения об организации, реализуемых программах и персонале	"       из них: 
       директор (начальник) / 3.0"	28	21	7	15	0	1	3	0	2	25	0	0	1	0	2
Краснодарский край	Частные; Сведения об организации, реализуемых программах и персонале	       мастера производственного обучения / 12.0	4	3	1	0	0	1	0	1	1	0	1	1	0	1	1
Краснодарский край	Частные; Сведения об организации, реализуемых программах и персонале	       методисты / 18.0	43	25	18	1	4	12	3	1	4	12	11	11	5	0	4
Краснодарский край	Частные; Сведения об организации, реализуемых программах и персонале	       педагоги-организаторы / 15.0	9	9	0	0	3	0	1	2	3	1	1	2	1	1	3
Краснодарский край	Частные; Сведения об организации, реализуемых программах и персонале	       педагоги-психологи / 14.0	30	26	4	2	7	7	3	2	5	6	0	9	8	2	5
Краснодарский край	Частные; Сведения об организации, реализуемых программах и персонале	"       преподаватели-организаторы (основ безопасности
       жизнедеятельности, допризывной подготовки) / 16.0"	15	14	1	2	1	3	3	5	0	7	0	2	4	1	1
Краснодарский край	Частные; Сведения об организации, реализуемых программах и персонале	       прочие / 20.0	14	10	4	2	2	4	0	2	0	4	2	2	1	1	4
Краснодарский край	Частные; Сведения об организации, реализуемых программах и персонале	       руководители физического воспитания / 17.0	12	12	0	4	1	5	1	0	1	4	1	4	2	0	1
Краснодарский край	Частные; Сведения об организации, реализуемых программах и персонале	       руководитель филиала / 5.0	14	11	3	4	0	3	3	1	0	11	0	1	2	0	0
Краснодарский край	Частные; Сведения об организации, реализуемых программах и персонале	       социальные педагоги / 13.0	14	12	2	0	3	1	1	3	4	1	1	1	5	2	4
Краснодарский край	Частные; Сведения об организации, реализуемых программах и персонале	       тьюторы / 19.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Краснодарский край	Частные; Сведения об организации, реализуемых программах и персонале	"    в том числе: 
    педагогические работники - всего 
    (сумма строк 07,12-20) / 6.0"	1075	1002	73	230	196	153	136	132	155	412	85	166	174	80	158
Краснодарский край	Частные; Сведения об организации, реализуемых программах и персонале	"    в том числе: 
    руководящие работники - всего / 2.0"	161	121	40	51	10	14	19	4	23	106	1	20	19	3	12
Краснодарский край	Частные; Сведения об организации, реализуемых программах и персонале	    обслуживающий персонал / 22.0	243	18	225	2	6	2	5	1	2	104	41	22	39	12	25
Краснодарский край	Частные; Сведения об организации, реализуемых программах и персонале	    учебно-вспомогательный персонал / 21.0	178	88	90	12	23	10	9	17	17	68	28	22	27	8	25
Краснодарский край	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 07 преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 23.0	26	26	0	4	4	2	1	10	5	5	4	3	3	4	7
Краснодарский край	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 07 преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 24.0	891	848	43	211	168	115	117	106	131	364	61	129	141	68	128
Краснодарский край	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 12 мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 25.0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0
Краснодарский край	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 12 мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 26.0	3	2	1	0	0	1	0	0	1	0	1	1	0	0	1
Краснодарский край	Частные; Сведения об организации, реализуемых программах и персонале	Численность работников - всего (сумма строк 02, 06, 21, 22) / 1.0	1657	1229	428	295	235	179	169	154	197	690	155	230	259	103	220
Красноярский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"          из них: 
          общеобразовательных дисциплин / 8.0"	729	720	9	298	67	109	100	42	104	370	42	102	101	41	73
Красноярский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"          математического и общего естественнонаучного
          учебного цикла / 10.0"	224	221	3	95	15	40	30	9	32	120	11	27	41	6	19
Красноярский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"          общего гуманитарного и социально-
          экономического учебного цикла / 9.0"	363	359	4	164	19	40	60	26	50	187	14	38	60	21	43
Красноярский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	          профессионального учебного цикла / 11.0	1670	1633	37	645	177	228	202	118	263	913	84	193	218	69	193
Красноярский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"       в том числе: 
       преподаватели - всего (сумма строк 8-11) / 7.0"	2986	2933	53	1202	278	417	392	195	449	1590	151	360	420	137	328
Красноярский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       заместители директора (начальника) / 4.0	340	239	101	116	17	37	36	12	21	230	7	31	55	5	12
Красноярский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"       из них: 
       директор (начальник) / 3.0"	71	63	8	39	4	5	5	2	8	60	0	6	4	1	0
Красноярский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       мастера производственного обучения / 12.0	771	761	10	183	162	84	76	94	162	355	89	75	117	42	93
Красноярский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       методисты / 18.0	162	147	15	50	28	24	14	13	18	78	9	24	28	5	18
Красноярский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       педагоги-организаторы / 15.0	110	104	6	21	33	14	8	8	20	34	18	15	11	14	18
Красноярский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       педагоги-психологи / 14.0	86	77	9	26	13	12	6	4	16	40	6	12	9	8	11
