region	tags	indicator	Всего > 3.0	"Из граф 4-8 прошли в предыдущем учебном году: > в том числе 
(из гр.9) в профильных организациях и предприятиях
 > 16.0"	Из граф 4-8 прошли в предыдущем учебном году: > из них (из гр. 8) в организациях и предприятиях реального сектора экономики > 15.0	Из граф 4-8 прошли в предыдущем учебном году: > из них: > в форме стажировки (из гр. 7) > 14.0	"Из граф 4-8 прошли в предыдущем учебном году: > из них: > по вопросам получения среднего
профессионального образования инвалидами и лицами с ОВЗ > 11.0"	Из граф 4-8 прошли в предыдущем учебном году: > из них: > по использова-нию информа-ционных и коммуника-ционных технологий (из гр. 6) > 13.0	Из граф 4-8 прошли в предыдущем учебном году: > из них: > по профилю педагогиче- ской деятельнос-ти (из гр. 5) > 12.0	Из граф 4-8 прошли в предыдущем учебном году: > повышение квалифика- ции и (или) профессио-нальную перепод-готовку (из гр. 4) > 10.0	"Из графы 3 прошли за последние три года: > в том числе 
(из гр.8) в профильных организациях и предприятиях
 > 9.0"	Из графы 3 прошли за последние три года: > из них (из гр. 7) в организациях и предприятиях реального сектора экономики > 8.0	Из графы 3 прошли за последние три года: > из них: > в форме стажировки > 7.0	Из графы 3 прошли за последние три года: > из них: > по использова-нию информа-ционных и коммуника-ционных технологий > 6.0	Из графы 3 прошли за последние три года: > из них: > по профилю педагогиче-ской деятельнос-ти > 5.0	Из графы 3 прошли за последние три года: > повышение квалифика-ции и (или) профессио-нальную перепод-готовку > 4.0
Кемеровская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 06 - преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 9.0	495.0	39.0	44.0	47.0	42.0	35.0	154.0	233.0	72.0	92.0	104.0	115.0	327.0	427.0
Кемеровская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 06 - преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 10.0	2356.0	300.0	316.0	339.0	236.0	271.0	914.0	1387.0	529.0	652.0	691.0	732.0	1761.0	2115.0
Кемеровская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 07 - мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 11.0	221.0	26.0	29.0	33.0	27.0	10.0	71.0	109.0	73.0	96.0	105.0	34.0	138.0	196.0
Кемеровская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 07 - мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 12.0	78.0	18.0	20.0	21.0	14.0	7.0	28.0	49.0	27.0	34.0	35.0	19.0	48.0	65.0
Кемеровская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Педагогические работники - всего / 5.0	3869.0	386.0	412.0	446.0	350.0	344.0	1315.0	2019.0	715.0	890.0	974.0	983.0	2655.0	3299.0
Кемеровская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Руководящие работники - всего / 1.0	718.0	0.0	0.0	21.0	34.0	53.0	157.0	334.0	0.0	0.0	44.0	139.0	289.0	519.0
Кемеровская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Учебно-вспомогательный персонал / 8.0	836.0	3.0	3.0	5.0	24.0	35.0	48.0	189.0	3.0	3.0	10.0	75.0	91.0	326.0
Кемеровская область	Частные; Сведения об организации, реализуемых программах и персонале	"      заместители директора
      (начальника) / 3.0"	9.0	0.0	0.0	1.0	0.0	0.0	4.0	5.0	0.0	0.0	1.0	1.0	6.0	8.0
Кемеровская область	Частные; Сведения об организации, реализуемых программах и персонале	"      из них: 
      директор (начальник) / 2.0"	2.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
Кемеровская область	Частные; Сведения об организации, реализуемых программах и персонале	"      из них: 
      преподаватели / 6.0"	61.0	0.0	2.0	3.0	1.0	0.0	7.0	11.0	0.0	9.0	9.0	5.0	39.0	53.0
Кемеровская область	Частные; Сведения об организации, реализуемых программах и персонале	"      мастера производственного
      обучения / 7.0"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Кемеровская область	Частные; Сведения об организации, реализуемых программах и персонале	      руководитель филиала / 4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Кемеровская область	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 06 - преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Кемеровская область	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 06 - преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 10.0	61.0	0.0	2.0	3.0	1.0	0.0	7.0	11.0	0.0	9.0	9.0	5.0	39.0	53.0
Кемеровская область	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 07 - мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Кемеровская область	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 07 - мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Кемеровская область	Частные; Сведения об организации, реализуемых программах и персонале	Педагогические работники - всего / 5.0	71.0	0.0	2.0	3.0	1.0	0.0	7.0	11.0	0.0	9.0	9.0	5.0	46.0	60.0
Кемеровская область	Частные; Сведения об организации, реализуемых программах и персонале	Руководящие работники - всего / 1.0	13.0	0.0	0.0	1.0	0.0	0.0	5.0	6.0	0.0	0.0	1.0	1.0	7.0	9.0
Кемеровская область	Частные; Сведения об организации, реализуемых программах и персонале	Учебно-вспомогательный персонал / 8.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Кировская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"      заместители директора
      (начальника) / 3.0"	124.0	0.0	0.0	2.0	16.0	13.0	39.0	75.0	0.0	0.0	6.0	35.0	86.0	108.0
Кировская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"      из них: 
      директор (начальник) / 2.0"	43.0	0.0	0.0	1.0	6.0	5.0	16.0	30.0	0.0	0.0	2.0	12.0	30.0	41.0
Кировская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"      из них: 
      преподаватели / 6.0"	1076.0	83.0	92.0	108.0	128.0	101.0	365.0	569.0	164.0	193.0	229.0	294.0	831.0	945.0
Кировская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"      мастера производственного
      обучения / 7.0"	263.0	31.0	35.0	50.0	59.0	16.0	60.0	148.0	78.0	82.0	111.0	37.0	197.0	239.0
Кировская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	      руководитель филиала / 4.0	10.0	0.0	0.0	1.0	0.0	1.0	4.0	6.0	0.0	0.0	1.0	3.0	7.0	9.0
Кировская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 06 - преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 9.0	150.0	7.0	11.0	11.0	20.0	17.0	51.0	96.0	22.0	29.0	31.0	37.0	116.0	140.0
Кировская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 06 - преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 10.0	819.0	69.0	74.0	90.0	71.0	64.0	265.0	408.0	125.0	146.0	181.0	220.0	634.0	721.0
Кировская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 07 - мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 11.0	137.0	12.0	15.0	27.0	36.0	12.0	35.0	92.0	41.0	44.0	59.0	22.0	100.0	125.0
Кировская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 07 - мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 12.0	90.0	9.0	11.0	14.0	7.0	2.0	17.0	33.0	23.0	24.0	30.0	12.0	74.0	84.0
Кировская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Педагогические работники - всего / 5.0	1752.0	116.0	129.0	160.0	192.0	124.0	465.0	802.0	244.0	277.0	342.0	377.0	1193.0	1434.0
Кировская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Руководящие работники - всего / 1.0	255.0	0.0	0.0	5.0	28.0	22.0	72.0	136.0	0.0	0.0	10.0	63.0	147.0	198.0
Кировская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Учебно-вспомогательный персонал / 8.0	282.0	3.0	3.0	3.0	11.0	12.0	10.0	46.0	5.0	5.0	6.0	22.0	30.0	60.0
Кировская область	Частные; Сведения об организации, реализуемых программах и персонале	"      заместители директора
      (начальника) / 3.0"	20.0	0.0	0.0	1.0	0.0	2.0	2.0	6.0	0.0	0.0	1.0	4.0	4.0	12.0
Кировская область	Частные; Сведения об организации, реализуемых программах и персонале	"      из них: 
      директор (начальник) / 2.0"	10.0	0.0	0.0	0.0	0.0	1.0	3.0	5.0	0.0	0.0	0.0	4.0	6.0	9.0
Кировская область	Частные; Сведения об организации, реализуемых программах и персонале	"      из них: 
      преподаватели / 6.0"	80.0	0.0	0.0	0.0	0.0	24.0	15.0	42.0	7.0	7.0	7.0	44.0	27.0	66.0
Кировская область	Частные; Сведения об организации, реализуемых программах и персонале	"      мастера производственного
      обучения / 7.0"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Кировская область	Частные; Сведения об организации, реализуемых программах и персонале	      руководитель филиала / 4.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
Кировская область	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 06 - преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Кировская область	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 06 - преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 10.0	31.0	0.0	0.0	0.0	0.0	0.0	13.0	16.0	7.0	7.0	7.0	18.0	21.0	31.0
Кировская область	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 07 - мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Кировская область	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 07 - мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Кировская область	Частные; Сведения об организации, реализуемых программах и персонале	Педагогические работники - всего / 5.0	96.0	0.0	0.0	0.0	0.0	26.0	17.0	48.0	7.0	7.0	7.0	49.0	30.0	79.0
Кировская область	Частные; Сведения об организации, реализуемых программах и персонале	Руководящие работники - всего / 1.0	37.0	0.0	0.0	1.0	0.0	3.0	6.0	12.0	0.0	0.0	1.0	8.0	11.0	22.0
Кировская область	Частные; Сведения об организации, реализуемых программах и персонале	Учебно-вспомогательный персонал / 8.0	15.0	0.0	0.0	0.0	0.0	4.0	0.0	4.0	0.0	0.0	0.0	4.0	3.0	9.0
Костромская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"      заместители директора
      (начальника) / 3.0"	64.0	0.0	0.0	2.0	6.0	6.0	28.0	42.0	0.0	0.0	3.0	8.0	37.0	52.0
Костромская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"      из них: 
      директор (начальник) / 2.0"	26.0	0.0	0.0	0.0	4.0	4.0	7.0	15.0	0.0	0.0	0.0	6.0	11.0	18.0
Костромская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"      из них: 
      преподаватели / 6.0"	636.0	17.0	29.0	57.0	47.0	51.0	226.0	343.0	36.0	49.0	85.0	107.0	423.0	544.0
Костромская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"      мастера производственного
      обучения / 7.0"	135.0	4.0	10.0	35.0	16.0	7.0	58.0	85.0	5.0	11.0	47.0	18.0	100.0	126.0
Костромская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	      руководитель филиала / 4.0	5.0	0.0	0.0	0.0	1.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0
Костромская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 06 - преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 9.0	115.0	1.0	5.0	7.0	17.0	12.0	41.0	71.0	4.0	9.0	11.0	21.0	75.0	104.0
Костромская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 06 - преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 10.0	478.0	15.0	22.0	37.0	29.0	37.0	147.0	231.0	29.0	37.0	60.0	69.0	310.0	392.0
Костромская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 07 - мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 11.0	84.0	2.0	6.0	20.0	12.0	3.0	36.0	56.0	3.0	7.0	28.0	8.0	67.0	81.0
Костромская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 07 - мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 12.0	44.0	2.0	4.0	13.0	3.0	4.0	18.0	25.0	2.0	4.0	16.0	7.0	29.0	40.0
Костромская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Педагогические работники - всего / 5.0	929.0	21.0	39.0	93.0	65.0	60.0	299.0	453.0	42.0	63.0	141.0	128.0	583.0	738.0
Костромская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Руководящие работники - всего / 1.0	193.0	0.0	0.0	3.0	17.0	11.0	48.0	94.0	0.0	0.0	4.0	18.0	78.0	124.0
Костромская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Учебно-вспомогательный персонал / 8.0	116.0	1.0	2.0	2.0	3.0	5.0	14.0	23.0	2.0	2.0	4.0	10.0	23.0	38.0
Костромская область	Частные; Сведения об организации, реализуемых программах и персонале	"      заместители директора
      (начальника) / 3.0"	6.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	4.0	5.0
Костромская область	Частные; Сведения об организации, реализуемых программах и персонале	"      из них: 
      директор (начальник) / 2.0"	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
Костромская область	Частные; Сведения об организации, реализуемых программах и персонале	"      из них: 
      преподаватели / 6.0"	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	9.0
Костромская область	Частные; Сведения об организации, реализуемых программах и персонале	"      мастера производственного
      обучения / 7.0"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Костромская область	Частные; Сведения об организации, реализуемых программах и персонале	      руководитель филиала / 4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Костромская область	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 06 - преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Костромская область	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 06 - преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 10.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	9.0
Костромская область	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 07 - мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Костромская область	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 07 - мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Костромская область	Частные; Сведения об организации, реализуемых программах и персонале	Педагогические работники - всего / 5.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	11.0	12.0
Костромская область	Частные; Сведения об организации, реализуемых программах и персонале	Руководящие работники - всего / 1.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	6.0	8.0
Костромская область	Частные; Сведения об организации, реализуемых программах и персонале	Учебно-вспомогательный персонал / 8.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
Краснодарский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"      заместители директора
      (начальника) / 3.0"	358.0	0.0	0.0	3.0	29.0	67.0	103.0	216.0	0.0	0.0	14.0	108.0	178.0	313.0
Краснодарский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"      из них: 
      директор (начальник) / 2.0"	84.0	0.0	0.0	1.0	6.0	22.0	22.0	57.0	0.0	0.0	3.0	35.0	41.0	77.0
Краснодарский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"      из них: 
      преподаватели / 6.0"	4900.0	252.0	312.0	341.0	450.0	647.0	1957.0	2880.0	413.0	535.0	608.0	1448.0	3430.0	4276.0
Краснодарский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"      мастера производственного
      обучения / 7.0"	562.0	53.0	65.0	68.0	44.0	53.0	230.0	319.0	97.0	113.0	121.0	93.0	347.0	455.0
Краснодарский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	      руководитель филиала / 4.0	16.0	0.0	0.0	1.0	0.0	1.0	3.0	7.0	0.0	0.0	1.0	2.0	9.0	15.0
Краснодарский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 06 - преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 9.0	778.0	27.0	33.0	42.0	54.0	100.0	344.0	489.0	43.0	54.0	70.0	204.0	579.0	680.0
Краснодарский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 06 - преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 10.0	3609.0	215.0	269.0	296.0	356.0	497.0	1482.0	2154.0	339.0	450.0	534.0	1150.0	2550.0	3199.0
Краснодарский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 07 - мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 11.0	419.0	45.0	56.0	58.0	36.0	47.0	167.0	235.0	83.0	98.0	105.0	74.0	264.0	345.0
Краснодарский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 07 - мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 12.0	102.0	8.0	9.0	9.0	6.0	6.0	42.0	55.0	13.0	14.0	15.0	15.0	60.0	78.0
Краснодарский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Педагогические работники - всего / 5.0	6346.0	306.0	378.0	420.0	538.0	745.0	2327.0	3435.0	519.0	658.0	750.0	1643.0	4136.0	5230.0
Краснодарский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Руководящие работники - всего / 1.0	634.0	0.0	0.0	6.0	40.0	99.0	147.0	336.0	0.0	0.0	20.0	168.0	273.0	515.0
Краснодарский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Учебно-вспомогательный персонал / 8.0	465.0	1.0	1.0	1.0	13.0	24.0	12.0	60.0	1.0	1.0	22.0	44.0	23.0	115.0
Краснодарский край	Частные; Сведения об организации, реализуемых программах и персонале	"      заместители директора
      (начальника) / 3.0"	87.0	0.0	0.0	0.0	14.0	9.0	25.0	47.0	0.0	0.0	6.0	15.0	58.0	72.0
Краснодарский край	Частные; Сведения об организации, реализуемых программах и персонале	"      из них: 
      директор (начальник) / 2.0"	28.0	0.0	0.0	0.0	2.0	2.0	7.0	15.0	0.0	0.0	0.0	8.0	11.0	22.0
Краснодарский край	Частные; Сведения об организации, реализуемых программах и персонале	"      из них: 
      преподаватели / 6.0"	934.0	15.0	15.0	18.0	136.0	104.0	291.0	447.0	60.0	60.0	68.0	222.0	644.0	797.0
Краснодарский край	Частные; Сведения об организации, реализуемых программах и персонале	"      мастера производственного
      обучения / 7.0"	4.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	2.0	4.0
Краснодарский край	Частные; Сведения об организации, реализуемых программах и персонале	      руководитель филиала / 4.0	14.0	0.0	0.0	0.0	0.0	1.0	4.0	7.0	0.0	0.0	0.0	1.0	8.0	12.0
Краснодарский край	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 06 - преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 9.0	26.0	0.0	0.0	0.0	4.0	5.0	8.0	9.0	0.0	0.0	2.0	22.0	26.0	26.0
Краснодарский край	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 06 - преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 10.0	891.0	15.0	15.0	18.0	132.0	99.0	281.0	435.0	60.0	60.0	66.0	188.0	610.0	754.0
Краснодарский край	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 07 - мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 11.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Краснодарский край	Частные; Сведения об организации, реализуемых программах и персонале	Из строки 07 - мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 12.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	2.0	3.0
Краснодарский край	Частные; Сведения об организации, реализуемых программах и персонале	Педагогические работники - всего / 5.0	1075.0	15.0	15.0	18.0	138.0	105.0	302.0	469.0	60.0	60.0	71.0	241.0	686.0	866.0
Краснодарский край	Частные; Сведения об организации, реализуемых программах и персонале	Руководящие работники - всего / 1.0	161.0	0.0	0.0	0.0	20.0	13.0	38.0	76.0	0.0	0.0	9.0	26.0	85.0	129.0
Краснодарский край	Частные; Сведения об организации, реализуемых программах и персонале	Учебно-вспомогательный персонал / 8.0	178.0	0.0	0.0	0.0	6.0	23.0	13.0	43.0	1.0	1.0	3.0	29.0	56.0	90.0
Красноярский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"      заместители директора
      (начальника) / 3.0"	340.0	0.0	0.0	3.0	21.0	29.0	77.0	153.0	0.0	0.0	9.0	56.0	155.0	239.0
Красноярский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"      из них: 
      директор (начальник) / 2.0"	71.0	0.0	0.0	2.0	3.0	7.0	17.0	38.0	0.0	0.0	3.0	15.0	38.0	60.0
Красноярский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"      из них: 
      преподаватели / 6.0"	2986.0	190.0	203.0	256.0	145.0	329.0	1027.0	1609.0	370.0	395.0	520.0	689.0	2033.0	2588.0
Красноярский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"      мастера производственного
      обучения / 7.0"	771.0	45.0	50.0	80.0	58.0	42.0	208.0	391.0	103.0	115.0	153.0	71.0	357.0	541.0
Красноярский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	      руководитель филиала / 4.0	38.0	0.0	0.0	0.0	0.0	0.0	12.0	15.0	0.0	0.0	2.0	2.0	22.0	24.0
Красноярский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 06 - преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 9.0	510.0	22.0	25.0	28.0	45.0	58.0	161.0	278.0	28.0	31.0	40.0	111.0	299.0	414.0
Красноярский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 06 - преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 10.0	2205.0	166.0	174.0	216.0	73.0	235.0	770.0	1159.0	293.0	309.0	407.0	505.0	1584.0	1925.0
Красноярский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 07 - мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 11.0	462.0	34.0	36.0	51.0	37.0	29.0	131.0	249.0	72.0	77.0	101.0	46.0	213.0	342.0
