region	tags	indicator	Программы подготовки квалифицированных рабочих, служащих > Всего (сумма гр. 7, 8) > 6.0	Программы подготовки квалифицированных рабочих, служащих > в том числе программы > на базе основного общего образования > 7.0	Программы подготовки квалифицированных рабочих, служащих > в том числе программы > на базе среднего общего образования > 8.0	Программы подготовки специалистов среднего звена > Всего (сумма гр. 4, 5) > 3.0	Программы подготовки специалистов среднего звена > в том числе программы > на базе основного общего образования > 4.0	Программы подготовки специалистов среднего звена > в том числе программы > на базе среднего общего образования > 5.0
Ивановская область	Частные; Очная	   именные стипендии, учрежденные: органами местного самоуправления / 6.0	0	0	0	0	0	0
Ивановская область	Частные; Очная	   именные стипендии, учрежденные: федеральными государственными органами / 4.0	0	0	0	0	0	0
Ивановская область	Частные; Очная	   именные стипендии, учрежденные: физическими лицами / 9.0	0	0	0	0	0	0
Ивановская область	Частные; Очная	   именные стипендии, учрежденные: юридическими лицами / 7.0	0	0	0	0	0	0
Ивановская область	Частные; Очная	   полученных от приносящей доход деятельности / 17.0	0	0	0	0	0	0
Ивановская область	Частные; Очная	   стипендии Правительства Российской Федерации / 3.0	0	0	0	2	2	0
Ивановская область	Частные; Очная	"   стипендии, назначенные физическими лицами (кроме именных,
   указанных в строке 09) / 12.0"	0	0	0	0	0	0
Ивановская область	Частные; Очная	"   стипендии, назначенные юридическими лицами (кроме именных,
   указанных в строке 07) / 10.0"	0	0	0	0	0	0
Ивановская область	Частные; Очная	Численность студентов, получающих другие формы материальной поддержки / 14.0	0	0	0	0	0	0
Ивановская область	Частные; Очная	Численность студентов, получающих: государственные академические стипендии / 1.0	0	0	0	95	95	0
Иркутская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	      в том числе студентам, направленным ими на обучение / 11.0	1	1	0	3	3	0
Иркутская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	      в том числе студентам, направленным ими на обучение / 13.0	1	1	0	0	0	0
Иркутская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	      из них организацией, студентами которой они являются / 8.0	0	0	0	1	1	0
Иркутская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   бюджетных ассигнований бюджета субъекта Российской Федерации / 16.0	844	842	2	1231	1160	71
Иркутская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   государственные социальные стипендии / 2.0	2426	2399	27	4420	3809	611
Иркутская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   из них за счет средств: 
   стипендиального фонда / 15.0"	967	955	12	1699	1572	127
Иркутская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   именные стипендии, учрежденные: 
   органами государственной власти субъекта Российской Федерации / 5.0"	0	0	0	72	53	19
Иркутская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   именные стипендии, учрежденные: органами местного самоуправления / 6.0	0	0	0	4	2	2
Иркутская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   именные стипендии, учрежденные: федеральными государственными органами / 4.0	0	0	0	0	0	0
Иркутская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   именные стипендии, учрежденные: физическими лицами / 9.0	0	0	0	0	0	0
Иркутская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   именные стипендии, учрежденные: юридическими лицами / 7.0	10	10	0	139	122	17
Иркутская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   полученных от приносящей доход деятельности / 17.0	1	1	0	66	65	1
Иркутская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   стипендии Правительства Российской Федерации / 3.0	31	31	0	66	62	4
Иркутская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   стипендии, назначенные физическими лицами (кроме именных,
   указанных в строке 09) / 12.0"	1	1	0	3	3	0
Иркутская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   стипендии, назначенные юридическими лицами (кроме именных,
   указанных в строке 07) / 10.0"	5	5	0	21	18	3
Иркутская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Численность студентов, получающих другие формы материальной поддержки / 14.0	1309	1297	12	3007	2816	191
Иркутская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Численность студентов, получающих: государственные академические стипендии / 1.0	6742	6581	161	17860	14705	3155
Иркутская область	Частные; Очная	      в том числе студентам, направленным ими на обучение / 11.0	0	0	0	0	0	0
Иркутская область	Частные; Очная	      в том числе студентам, направленным ими на обучение / 13.0	0	0	0	0	0	0
Иркутская область	Частные; Очная	      из них организацией, студентами которой они являются / 8.0	0	0	0	0	0	0
Иркутская область	Частные; Очная	   бюджетных ассигнований бюджета субъекта Российской Федерации / 16.0	0	0	0	0	0	0
Иркутская область	Частные; Очная	   государственные социальные стипендии / 2.0	0	0	0	8	7	1
Иркутская область	Частные; Очная	"   из них за счет средств: 
   стипендиального фонда / 15.0"	0	0	0	0	0	0
Иркутская область	Частные; Очная	"   именные стипендии, учрежденные: 
   органами государственной власти субъекта Российской Федерации / 5.0"	0	0	0	0	0	0
Иркутская область	Частные; Очная	   именные стипендии, учрежденные: органами местного самоуправления / 6.0	0	0	0	0	0	0
Иркутская область	Частные; Очная	   именные стипендии, учрежденные: федеральными государственными органами / 4.0	0	0	0	0	0	0
Иркутская область	Частные; Очная	   именные стипендии, учрежденные: физическими лицами / 9.0	0	0	0	0	0	0
Иркутская область	Частные; Очная	   именные стипендии, учрежденные: юридическими лицами / 7.0	0	0	0	0	0	0
Иркутская область	Частные; Очная	   полученных от приносящей доход деятельности / 17.0	0	0	0	0	0	0
Иркутская область	Частные; Очная	   стипендии Правительства Российской Федерации / 3.0	0	0	0	0	0	0
Иркутская область	Частные; Очная	"   стипендии, назначенные физическими лицами (кроме именных,
   указанных в строке 09) / 12.0"	0	0	0	0	0	0
Иркутская область	Частные; Очная	"   стипендии, назначенные юридическими лицами (кроме именных,
   указанных в строке 07) / 10.0"	0	0	0	0	0	0
Иркутская область	Частные; Очная	Численность студентов, получающих другие формы материальной поддержки / 14.0	0	0	0	0	0	0
Иркутская область	Частные; Очная	Численность студентов, получающих: государственные академические стипендии / 1.0	0	0	0	185	180	5
Кабардино-Балкарская Республика	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	      в том числе студентам, направленным ими на обучение / 11.0	0	0	0	0	0	0
Кабардино-Балкарская Республика	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	      в том числе студентам, направленным ими на обучение / 13.0	0	0	0	0	0	0
Кабардино-Балкарская Республика	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	      из них организацией, студентами которой они являются / 8.0	0	0	0	0	0	0
Кабардино-Балкарская Республика	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   бюджетных ассигнований бюджета субъекта Российской Федерации / 16.0	24	24	0	4	2	2
Кабардино-Балкарская Республика	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   государственные социальные стипендии / 2.0	282	271	11	727	524	203
Кабардино-Балкарская Республика	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   из них за счет средств: 
   стипендиального фонда / 15.0"	0	0	0	76	57	19
Кабардино-Балкарская Республика	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   именные стипендии, учрежденные: 
   органами государственной власти субъекта Российской Федерации / 5.0"	0	0	0	0	0	0
Кабардино-Балкарская Республика	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   именные стипендии, учрежденные: органами местного самоуправления / 6.0	0	0	0	0	0	0
Кабардино-Балкарская Республика	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   именные стипендии, учрежденные: федеральными государственными органами / 4.0	0	0	0	0	0	0
Кабардино-Балкарская Республика	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   именные стипендии, учрежденные: физическими лицами / 9.0	0	0	0	0	0	0
Кабардино-Балкарская Республика	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   именные стипендии, учрежденные: юридическими лицами / 7.0	0	0	0	0	0	0
Кабардино-Балкарская Республика	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   полученных от приносящей доход деятельности / 17.0	0	0	0	0	0	0
Кабардино-Балкарская Республика	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   стипендии Правительства Российской Федерации / 3.0	16	15	1	10	10	0
Кабардино-Балкарская Республика	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   стипендии, назначенные физическими лицами (кроме именных,
   указанных в строке 09) / 12.0"	0	0	0	0	0	0
Кабардино-Балкарская Республика	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   стипендии, назначенные юридическими лицами (кроме именных,
   указанных в строке 07) / 10.0"	0	0	0	0	0	0
Кабардино-Балкарская Республика	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Численность студентов, получающих другие формы материальной поддержки / 14.0	24	24	0	80	59	21
Кабардино-Балкарская Республика	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Численность студентов, получающих: государственные академические стипендии / 1.0	1741	1560	181	4352	3010	1342
Кабардино-Балкарская Республика	Частные; Очная	      в том числе студентам, направленным ими на обучение / 11.0	0	0	0	0	0	0
Кабардино-Балкарская Республика	Частные; Очная	      в том числе студентам, направленным ими на обучение / 13.0	0	0	0	0	0	0
Кабардино-Балкарская Республика	Частные; Очная	      из них организацией, студентами которой они являются / 8.0	0	0	0	38	17	21
Кабардино-Балкарская Республика	Частные; Очная	   бюджетных ассигнований бюджета субъекта Российской Федерации / 16.0	0	0	0	0	0	0
Кабардино-Балкарская Республика	Частные; Очная	   государственные социальные стипендии / 2.0	0	0	0	0	0	0
Кабардино-Балкарская Республика	Частные; Очная	"   из них за счет средств: 
   стипендиального фонда / 15.0"	0	0	0	0	0	0
Кабардино-Балкарская Республика	Частные; Очная	"   именные стипендии, учрежденные: 
   органами государственной власти субъекта Российской Федерации / 5.0"	0	0	0	0	0	0
Кабардино-Балкарская Республика	Частные; Очная	   именные стипендии, учрежденные: органами местного самоуправления / 6.0	0	0	0	0	0	0
Кабардино-Балкарская Республика	Частные; Очная	   именные стипендии, учрежденные: федеральными государственными органами / 4.0	0	0	0	0	0	0
Кабардино-Балкарская Республика	Частные; Очная	   именные стипендии, учрежденные: физическими лицами / 9.0	0	0	0	0	0	0
Кабардино-Балкарская Республика	Частные; Очная	   именные стипендии, учрежденные: юридическими лицами / 7.0	0	0	0	38	17	21
Кабардино-Балкарская Республика	Частные; Очная	   полученных от приносящей доход деятельности / 17.0	0	0	0	0	0	0
Кабардино-Балкарская Республика	Частные; Очная	   стипендии Правительства Российской Федерации / 3.0	0	0	0	7	3	4
Кабардино-Балкарская Республика	Частные; Очная	"   стипендии, назначенные физическими лицами (кроме именных,
   указанных в строке 09) / 12.0"	0	0	0	0	0	0
Кабардино-Балкарская Республика	Частные; Очная	"   стипендии, назначенные юридическими лицами (кроме именных,
   указанных в строке 07) / 10.0"	0	0	0	0	0	0
Кабардино-Балкарская Республика	Частные; Очная	Численность студентов, получающих другие формы материальной поддержки / 14.0	0	0	0	0	0	0
Кабардино-Балкарская Республика	Частные; Очная	Численность студентов, получающих: государственные академические стипендии / 1.0	0	0	0	0	0	0
Калининградская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	      в том числе студентам, направленным ими на обучение / 11.0	0	0	0	0	0	0
Калининградская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	      в том числе студентам, направленным ими на обучение / 13.0	0	0	0	0	0	0
Калининградская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	      из них организацией, студентами которой они являются / 8.0	0	0	0	0	0	0
Калининградская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   бюджетных ассигнований бюджета субъекта Российской Федерации / 16.0	4	4	0	96	92	4
Калининградская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   государственные социальные стипендии / 2.0	128	127	1	757	668	89
Калининградская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   из них за счет средств: 
   стипендиального фонда / 15.0"	1	1	0	113	73	40
Калининградская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   именные стипендии, учрежденные: 
   органами государственной власти субъекта Российской Федерации / 5.0"	42	42	0	228	201	27
Калининградская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   именные стипендии, учрежденные: органами местного самоуправления / 6.0	19	19	0	41	35	6
Калининградская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   именные стипендии, учрежденные: федеральными государственными органами / 4.0	19	19	0	37	31	6
Калининградская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   именные стипендии, учрежденные: физическими лицами / 9.0	0	0	0	0	0	0
Калининградская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   именные стипендии, учрежденные: юридическими лицами / 7.0	0	0	0	0	0	0
Калининградская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   полученных от приносящей доход деятельности / 17.0	28	28	0	89	77	12
Калининградская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   стипендии Правительства Российской Федерации / 3.0	7	6	1	26	24	2
Калининградская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   стипендии, назначенные физическими лицами (кроме именных,
   указанных в строке 09) / 12.0"	0	0	0	0	0	0
Калининградская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   стипендии, назначенные юридическими лицами (кроме именных,
   указанных в строке 07) / 10.0"	0	0	0	1	1	0
Калининградская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Численность студентов, получающих другие формы материальной поддержки / 14.0	33	33	0	296	240	56
Калининградская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Численность студентов, получающих: государственные академические стипендии / 1.0	1040	1006	34	6829	5885	944
Калининградская область	Частные; Очная	      в том числе студентам, направленным ими на обучение / 11.0	0	0	0	0	0	0
Калининградская область	Частные; Очная	      в том числе студентам, направленным ими на обучение / 13.0	0	0	0	0	0	0
Калининградская область	Частные; Очная	      из них организацией, студентами которой они являются / 8.0	0	0	0	0	0	0
Калининградская область	Частные; Очная	   бюджетных ассигнований бюджета субъекта Российской Федерации / 16.0	0	0	0	0	0	0
Калининградская область	Частные; Очная	   государственные социальные стипендии / 2.0	0	0	0	2	1	1
Калининградская область	Частные; Очная	"   из них за счет средств: 
   стипендиального фонда / 15.0"	0	0	0	15	15	0
Калининградская область	Частные; Очная	"   именные стипендии, учрежденные: 
   органами государственной власти субъекта Российской Федерации / 5.0"	0	0	0	1	0	1
Калининградская область	Частные; Очная	   именные стипендии, учрежденные: органами местного самоуправления / 6.0	0	0	0	7	4	3
Калининградская область	Частные; Очная	   именные стипендии, учрежденные: федеральными государственными органами / 4.0	0	0	0	0	0	0
Калининградская область	Частные; Очная	   именные стипендии, учрежденные: физическими лицами / 9.0	0	0	0	0	0	0
Калининградская область	Частные; Очная	   именные стипендии, учрежденные: юридическими лицами / 7.0	0	0	0	0	0	0
Калининградская область	Частные; Очная	   полученных от приносящей доход деятельности / 17.0	0	0	0	0	0	0
Калининградская область	Частные; Очная	   стипендии Правительства Российской Федерации / 3.0	0	0	0	1	1	0
Калининградская область	Частные; Очная	"   стипендии, назначенные физическими лицами (кроме именных,
   указанных в строке 09) / 12.0"	0	0	0	0	0	0
Калининградская область	Частные; Очная	"   стипендии, назначенные юридическими лицами (кроме именных,
   указанных в строке 07) / 10.0"	0	0	0	0	0	0
Калининградская область	Частные; Очная	Численность студентов, получающих другие формы материальной поддержки / 14.0	0	0	0	15	15	0
Калининградская область	Частные; Очная	Численность студентов, получающих: государственные академические стипендии / 1.0	0	0	0	27	23	4
Калужская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	      в том числе студентам, направленным ими на обучение / 11.0	0	0	0	0	0	0
Калужская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	      в том числе студентам, направленным ими на обучение / 13.0	0	0	0	0	0	0
Калужская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	      из них организацией, студентами которой они являются / 8.0	0	0	0	0	0	0
Калужская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   бюджетных ассигнований бюджета субъекта Российской Федерации / 16.0	13	13	0	78	68	10
Калужская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   государственные социальные стипендии / 2.0	381	381	0	1770	1639	131
Калужская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   из них за счет средств: 
   стипендиального фонда / 15.0"	38	38	0	455	369	86
Калужская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   именные стипендии, учрежденные: 
   органами государственной власти субъекта Российской Федерации / 5.0"	0	0	0	21	21	0
Калужская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   именные стипендии, учрежденные: органами местного самоуправления / 6.0	0	0	0	0	0	0
Калужская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   именные стипендии, учрежденные: федеральными государственными органами / 4.0	0	0	0	0	0	0
Калужская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   именные стипендии, учрежденные: физическими лицами / 9.0	0	0	0	0	0	0
Калужская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   именные стипендии, учрежденные: юридическими лицами / 7.0	0	0	0	7	7	0
Калужская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   полученных от приносящей доход деятельности / 17.0	0	0	0	52	52	0
Калужская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   стипендии Правительства Российской Федерации / 3.0	6	6	0	32	31	1
Калужская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   стипендии, назначенные физическими лицами (кроме именных,
   указанных в строке 09) / 12.0"	0	0	0	0	0	0
Калужская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   стипендии, назначенные юридическими лицами (кроме именных,
   указанных в строке 07) / 10.0"	0	0	0	35	35	0
Калужская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Численность студентов, получающих другие формы материальной поддержки / 14.0	77	77	0	794	698	96
Калужская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Численность студентов, получающих: государственные академические стипендии / 1.0	1185	1116	69	7036	6482	554
Калужская область	Частные; Очная	      в том числе студентам, направленным ими на обучение / 11.0	0	0	0	0	0	0
Калужская область	Частные; Очная	      в том числе студентам, направленным ими на обучение / 13.0	0	0	0	0	0	0
Калужская область	Частные; Очная	      из них организацией, студентами которой они являются / 8.0	0	0	0	0	0	0
Калужская область	Частные; Очная	   бюджетных ассигнований бюджета субъекта Российской Федерации / 16.0	0	0	0	0	0	0
Калужская область	Частные; Очная	   государственные социальные стипендии / 2.0	0	0	0	0	0	0
Калужская область	Частные; Очная	"   из них за счет средств: 
   стипендиального фонда / 15.0"	0	0	0	0	0	0
Калужская область	Частные; Очная	"   именные стипендии, учрежденные: 
   органами государственной власти субъекта Российской Федерации / 5.0"	0	0	0	0	0	0
Калужская область	Частные; Очная	   именные стипендии, учрежденные: органами местного самоуправления / 6.0	0	0	0	0	0	0
Калужская область	Частные; Очная	   именные стипендии, учрежденные: федеральными государственными органами / 4.0	0	0	0	0	0	0
Калужская область	Частные; Очная	   именные стипендии, учрежденные: физическими лицами / 9.0	0	0	0	0	0	0
Калужская область	Частные; Очная	   именные стипендии, учрежденные: юридическими лицами / 7.0	0	0	0	0	0	0
Калужская область	Частные; Очная	   полученных от приносящей доход деятельности / 17.0	0	0	0	0	0	0
Калужская область	Частные; Очная	   стипендии Правительства Российской Федерации / 3.0	0	0	0	0	0	0
Калужская область	Частные; Очная	"   стипендии, назначенные физическими лицами (кроме именных,
   указанных в строке 09) / 12.0"	0	0	0	0	0	0
Калужская область	Частные; Очная	"   стипендии, назначенные юридическими лицами (кроме именных,
   указанных в строке 07) / 10.0"	0	0	0	0	0	0
Калужская область	Частные; Очная	Численность студентов, получающих другие формы материальной поддержки / 14.0	0	0	0	0	0	0
Калужская область	Частные; Очная	Численность студентов, получающих: государственные академические стипендии / 1.0	0	0	0	0	0	0
Камчатский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	      в том числе студентам, направленным ими на обучение / 11.0	0	0	0	0	0	0
Камчатский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	      в том числе студентам, направленным ими на обучение / 13.0	0	0	0	0	0	0
Камчатский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	      из них организацией, студентами которой они являются / 8.0	0	0	0	0	0	0
Камчатский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   бюджетных ассигнований бюджета субъекта Российской Федерации / 16.0	54	54	0	28	15	13
Камчатский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   государственные социальные стипендии / 2.0	259	259	0	386	371	15
Камчатский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   из них за счет средств: 
   стипендиального фонда / 15.0"	211	210	1	362	355	7
Камчатский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   именные стипендии, учрежденные: 
   органами государственной власти субъекта Российской Федерации / 5.0"	26	26	0	0	0	0
Камчатский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   именные стипендии, учрежденные: органами местного самоуправления / 6.0	0	0	0	0	0	0
Камчатский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   именные стипендии, учрежденные: федеральными государственными органами / 4.0	0	0	0	3	3	0
Камчатский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   именные стипендии, учрежденные: физическими лицами / 9.0	0	0	0	0	0	0
Камчатский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   именные стипендии, учрежденные: юридическими лицами / 7.0	0	0	0	0	0	0
Камчатский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   полученных от приносящей доход деятельности / 17.0	0	0	0	0	0	0
Камчатский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   стипендии Правительства Российской Федерации / 3.0	3	3	0	4	4	0
Камчатский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   стипендии, назначенные физическими лицами (кроме именных,
   указанных в строке 09) / 12.0"	0	0	0	0	0	0
Камчатский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   стипендии, назначенные юридическими лицами (кроме именных,
   указанных в строке 07) / 10.0"	0	0	0	69	69	0
Камчатский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Численность студентов, получающих другие формы материальной поддержки / 14.0	276	275	1	390	370	20
Камчатский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Численность студентов, получающих: государственные академические стипендии / 1.0	522	504	18	1506	1412	94
Камчатский край	Частные; Очная	      в том числе студентам, направленным ими на обучение / 11.0	0	0	0	0	0	0
Камчатский край	Частные; Очная	      в том числе студентам, направленным ими на обучение / 13.0	0	0	0	0	0	0
Камчатский край	Частные; Очная	      из них организацией, студентами которой они являются / 8.0	0	0	0	13	8	5
Камчатский край	Частные; Очная	   бюджетных ассигнований бюджета субъекта Российской Федерации / 16.0	0	0	0	0	0	0
Камчатский край	Частные; Очная	   государственные социальные стипендии / 2.0	0	0	0	9	8	1
Камчатский край	Частные; Очная	"   из них за счет средств: 
   стипендиального фонда / 15.0"	0	0	0	0	0	0
Камчатский край	Частные; Очная	"   именные стипендии, учрежденные: 
   органами государственной власти субъекта Российской Федерации / 5.0"	0	0	0	0	0	0
Камчатский край	Частные; Очная	   именные стипендии, учрежденные: органами местного самоуправления / 6.0	0	0	0	0	0	0
Камчатский край	Частные; Очная	   именные стипендии, учрежденные: федеральными государственными органами / 4.0	0	0	0	0	0	0
